condition,strategy,total_count,response_time_ms
diabetes,condition_field,0,809
diabetes,condition_completed,0,621
diabetes,full_text,0,490
diabetes,fulltext_randomized,0,442
diabetes,title_search,0,564
hypertension,condition_field,0,729
hypertension,condition_completed,0,746
hypertension,full_text,0,592
hypertension,fulltext_randomized,0,413
hypertension,title_search,0,483
cancer,condition_field,0,556
cancer,condition_completed,0,571
cancer,full_text,0,492
cancer,fulltext_randomized,0,382
cancer,title_search,0,533
asthma,condition_field,0,715
asthma,condition_completed,0,587
asthma,full_text,0,465
asthma,fulltext_randomized,0,444
asthma,title_search,0,490
stroke,condition_field,0,423
stroke,condition_completed,0,431
stroke,full_text,0,451
stroke,fulltext_randomized,0,390
stroke,title_search,0,381
depression,condition_field,0,433
depression,condition_completed,0,665
depression,full_text,0,497
depression,fulltext_randomized,0,402
depression,title_search,0,612
arthritis,condition_field,0,546
arthritis,condition_completed,0,483
arthritis,full_text,0,555
arthritis,fulltext_randomized,0,521
arthritis,title_search,0,754
obesity,condition_field,0,627
obesity,condition_completed,0,589
obesity,full_text,0,646
obesity,fulltext_randomized,0,467
obesity,title_search,0,698
